real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2
gen=1493_member=29215_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.630388,7.0
gen=1493_member=29233_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.451221,6.80594
gen=1493_member=29277_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.217649,7.0
gen=1493_member=29281_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.127197,6.01047
gen=1494_member=29311_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.0,6.66045
gen=1494_member=29368_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.127949,7.0
gen=1494_member=29384_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.198395,6.2403
gen=1494_member=29385_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.171868,6.13544
gen=1495_member=29429_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.0,6.21647
gen=1495_member=29434_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0,6.83852
gen=1495_member=29436_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0,6.79464
gen=1495_member=29461_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.146042,6.98762
gen=1495_member=29472_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.83819,7.0
gen=1495_member=29499_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0,6.8299
gen=1496_member=29511_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.426462,6.93206
gen=1496_member=29526_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.501353,7.0
gen=1496_member=29532_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.845694,7.0
gen=1496_member=29537_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.737641,6.86865
gen=1496_member=29592_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.0,6.54476
gen=1497_member=29602_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.398164,7.0
gen=1497_member=29603_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.879578,7.0
gen=1497_member=29604_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.0,6.91655
gen=1497_member=29627_pso,-4.75,-4.75,-0.280747,-4.75,-4.75,-4.75,0.0,-4.75,0.0,6.60395
gen=1497_member=29631_pso,-4.75,-4.75,0.0,-4.75,-4.75,-4.75,0.0,-4.75,0.142466,6.19451
gen=1497_member=29643_pso,-4.75,-4.75,-4.75,0.0,0.0,-4.75,-4.75,-4.75,0.338906,6.88392
