real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2,real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=0_member=45,-2.66931,-3.27714,-3.88615,-4.4618,-1.27426,-0.369557,-4.06289,-2.91254,1.48159,6.98241,gen=0_member=45,8.11e-05,8.11e-05,22.9137,8.46399,3.62755,8.46399,1,1,0,0,0,0
gen=0_member=47,-1.56845,-3.8057,-4.03919,-0.700915,-2.15131,-3.1684,-3.56686,-0.0594323,0.783612,2.36201,gen=0_member=47,0.000113447,0.000113447,19.0603,3.14562,3.97255,3.14562,1,1,0,0,0,0
gen=0_member=48,-3.35022,-4.60831,-3.25302,-0.523756,-0.7515,-3.18507,-2.14438,-1.9412,1.46031,3.46172,gen=0_member=48,2.77e-05,2.77e-05,19.7575,4.92203,3.67045,4.92203,1,1,0,0,0,0
gen=0_member=50,-3.09088,-1.17149,-3.47377,-3.336,-4.49849,-1.05224,-0.628612,-1.22153,2.46879,1.20481,gen=0_member=50,0.00014334,0.00014334,18.473,3.67359,3.65915,3.67359,1,1,0,0,0,0
gen=0_member=52,-4.34212,-1.71078,-1.29918,-1.30748,-3.46511,-1.45257,-3.34864,-4.45814,0.90481,0.706142,gen=0_member=52,2.4099999999999998e-24,2.4099999999999998e-24,21.384,1.61095,4.98055,1.61095,1,1,0,0,0,0
gen=0_member=53,-1.48401,-3.14809,-2.85485,-2.18742,-2.94725,-4.52729,-4.66422,-1.98544,3.52581,1.42191,gen=0_member=53,2.8e-05,2.8e-05,23.7986,4.94773,4.75235,4.94773,1,1,0,0,0,0
gen=0_member=54,-2.38583,-2.6587,-1.43734,-4.38374,-3.90949,-1.28463,-4.15769,-3.09295,1.10044,5.72588,gen=0_member=54,1.5499999999999998e-24,1.5499999999999998e-24,23.3104,6.82632,4.15305,6.82632,1,1,0,0,0,0
gen=0_member=58,-0.772572,-2.83205,-3.29807,-4.31977,-1.49238,-4.56572,-3.52488,-4.674,0.211533,1.65893,gen=0_member=58,3.10661,3.10661,25.4794,1.87047,6.42215,1.87047,1,1,0,0,0,0
gen=0_member=59,-3.64552,-4.65924,-3.56223,-3.32326,-0.1346,-0.0970489,-3.84329,-2.88554,6.27516,0.163988,gen=0_member=59,7.45e-07,7.45e-07,22.1507,6.43915,3.95485,6.43915,1,1,0,0,0,0
gen=0_member=60,-1.3317,-2.74694,-0.451511,-4.54057,-1.18278,-2.46349,-4.43474,-1.35884,4.1536,1.92518,gen=0_member=60,0.000119699,0.000119699,18.5106,6.07879,3.10255,6.07879,1,1,0,0,0,0
