real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t
gen=1199_member=29852_pso,0.00056801,0.00056801,28.5,7.47528,5.36863,7.47528
gen=897_member=29625_pso,0.0367208,0.0367208,28.5,7.08328,5.52876,7.08328
gen=1498_member=29724_pso,0.11313,0.11313,28.5,6.90308,5.60581,6.90308
gen=1196_member=29594_pso,0.125493,0.125493,28.5,6.88364,5.61403,6.88364
gen=1497_member=29603_pso,0.00244602,0.00244602,28.5,7.36917,5.41011,7.36917
gen=1775_member=27495_pso,0.183328,0.183328,28.5,6.80188,5.64839,6.80188
gen=618_member=1730_pso,0.00695457,0.00695457,28.5,7.27862,5.44658,7.27862
gen=1197_member=29600_pso,0.00378978,0.00378978,28.5,7.33321,5.42445,7.33321
gen=1400_member=19963_pso,0.0827683,0.0827683,28.5,6.95562,5.58382,6.95562
gen=871_member=27043_pso,0.00527935,0.00527935,28.5,7.30399,5.43626,7.30399
gen=1186_member=28515_pso,0.261433,0.261433,28.5,6.7067,5.68827,6.7067
gen=1200_member=29948_pso,0.00297045,0.00297045,28.5,7.35677,5.4148,7.35677
gen=600_member=29906_pso,0.00505187,0.00505187,28.5,7.30804,5.43461,7.30804
gen=1200_member=29902_pso,0.000632103,0.000632103,28.5,7.46808,5.37144,7.46808
gen=1797_member=29687_pso,0.00185608,0.00185608,28.5,7.39028,5.40167,7.39028
gen=1496_member=29536_pso,0.178012,0.178012,28.5,6.80899,5.64547,6.80899
gen=1494_member=29377_pso,0.232862,0.232862,28.5,6.7401,5.67413,6.7401
gen=1193_member=29242_pso,0.00737343,0.00737343,28.5,7.27318,5.4488,7.27318
gen=1498_member=29709_pso,0.0875717,0.0875717,28.5,6.94688,5.58747,6.94688
gen=1792_member=29129_pso,0.223683,0.223683,28.5,6.75125,5.66952,6.75125
gen=1748_member=24714_pso,0.150807,0.150807,28.5,6.84626,5.62958,6.84626
gen=1736_member=23531_pso,0.189957,0.189957,28.5,6.79342,5.65186,6.79342
gen=1199_member=29817_pso,0.107015,0.107015,28.5,6.91299,5.6016,6.91299
gen=1793_member=29292_pso,0.225757,0.225757,28.5,6.74863,5.67072,6.74863
gen=739_member=13855_pso,0.883817,0.883817,28.5,6.56293,5.68785,6.56293
gen=598_member=29737_pso,0.003537,0.003537,28.5,7.33895,5.42211,7.33895
gen=1708_member=20784_pso,0.216225,0.216225,28.5,6.76023,5.66594,6.76023
gen=1794_member=29396_pso,0.195245,0.195245,28.5,6.7864,5.6549,6.7864
gen=1491_member=29066_pso,0.118297,0.118297,28.5,6.8948,5.60931,6.8948
gen=1196_member=29517_pso,0.267283,0.267283,28.5,6.69993,5.69094,6.69993
gen=1193_member=29255_pso,0.236743,0.236743,28.5,6.7354,5.67623,6.7354
gen=1470_member=26941_pso,0.201178,0.201178,28.5,6.77904,5.65799,6.77904
gen=1383_member=18231_pso,0.0929917,0.0929917,28.5,6.9371,5.59142,6.9371
gen=1371_member=17091_pso,0.105162,0.105162,28.5,6.9162,5.60036,6.9162
gen=1785_member=28491_pso,0.14535,0.14535,28.5,6.85408,5.62666,6.85408
gen=1195_member=29466_pso,0.120892,0.120892,28.5,6.89076,5.61106,6.89076
gen=1796_member=29520_pso,0.17256,0.17256,28.5,6.81629,5.6423,6.81629
gen=1800_member=29964_pso,0.100223,0.100223,28.5,6.92579,5.59644,6.92579
gen=1436_member=23514_pso,0.255313,0.255313,28.5,6.71367,5.68541,6.71367
gen=1690_member=18905_pso,0.21054,0.21054,28.5,6.76738,5.66293,6.76738
gen=1787_member=28646_pso,0.0946667,0.0946667,28.5,6.93407,5.59286,6.93407
gen=1792_member=29183_pso,0.2076,0.2076,28.5,6.77097,5.66126,6.77097
gen=1189_member=28879_pso,0.241688,0.241688,28.5,6.72957,5.67861,6.72957
gen=1441_member=24068_pso,0.203853,0.203853,28.5,6.77562,5.65943,6.77562
gen=1267_member=6691_pso,0.09887,0.09887,28.5,6.92675,5.59598,6.92675
gen=1597_member=9676_pso,0.148558,0.148558,28.5,6.8495,5.62854,6.8495
gen=1445_member=24470_pso,0.084535,0.084535,28.5,6.95233,5.58512,6.95233
gen=1799_member=29898_pso,0.246725,0.246725,28.5,6.72368,5.68113,6.72368
gen=1192_member=29106_pso,0.214715,0.214715,28.5,6.76202,5.665,6.76202
gen=1500_member=29986_pso,0.192442,0.192442,28.5,6.79016,5.65317,6.79016
gen=995_member=9411_pso,0.29583,0.29583,28.5,6.66805,5.70434,6.66805
gen=1498_member=29708_pso,0.243408,0.243408,28.5,6.72741,5.67954,6.72741
gen=1795_member=29488_pso,0.253928,0.253928,28.5,6.71522,5.68463,6.71522
gen=1193_member=29281_pso,0.270448,0.270448,28.5,6.69643,5.69259,6.69643
gen=1793_member=29216_pso,0.2504,0.2504,28.5,6.71931,5.68289,6.71931
gen=1797_member=29673_pso,0.249373,0.249373,28.5,6.72063,5.68262,6.72063
