generation,member,ar_rate_total,mean_conc,ar_rate_total_sd,mean_conc_sd,ar_rate_total_sd_syn,mean_conc_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
300,gen=2044_member=24359_pso,6.83363,0.160752,0,0.00844493,0.0116581,0.00844493,1,1.0,0,0.493993,0.493993,1,-999
300,gen=2041_member=24023_pso,6.95071,0.0855036,0,0.00149551,0.0116581,0.00614618,1,1.0,0,0.497951,0.497951,1,-999
300,gen=2038_member=23729_pso,6.96958,0.0755581,0,0.00136421,0.0116581,0.00614618,1,1.0,0,0.49912,0.49912,1,-999
300,gen=2036_member=23590_pso,6.97885,0.0708546,0,0.00154628,0.0116581,0.00614618,1,1.0,0,0.497866,0.497866,1,-999
300,gen=2036_member=23510_pso,6.9855,0.0675007,0,0.00577922,0.0116581,0.00614618,1,1.0,0,0.496283,0.496283,1,-999
300,gen=2031_member=23067_pso,6.79686,0.187401,0,0.00853784,0.0116581,0.00853784,1,1.0,0,0.495156,0.495156,1,-999
300,gen=2030_member=22910_pso,6.96326,0.0788155,0,0.00141698,0.0116581,0.00614618,1,1.0,0,0.498694,0.498694,1,-999
300,gen=2050_member=24929_pso,6.66251,0.399803,0,0.0166823,0.0116581,0.0166823,1,1.0,0,0.449362,0.449362,1,-999
300,gen=2097_member=29614_pso,7.74502,-0.0115531,0,0.0153986,0.0116581,0.0153986,1,1.0,0,0.439732,0.439732,1,-999
300,gen=2100_member=29902_pso,6.94099,0.0908728,0,0.000870783,0.0116581,0.00614618,1,1.0,0,0.496558,0.496558,1,-999
300,gen=2100_member=29923_pso,7.13109,0.0274438,0,0.000626952,0.0116581,0.00614618,1,1.0,0,0.465958,0.465958,1,-999
300,gen=2094_member=29317_pso,6.94647,0.0877925,0,0.000779734,0.0116581,0.00614618,1,1.0,0,0.497203,0.497203,1,-999
300,gen=2096_member=29526_pso,6.94763,0.0871921,0,0.00115291,0.0116581,0.00614618,1,1.0,0,0.497345,0.497345,1,-999
300,gen=2091_member=29015_pso,6.80564,0.180862,0,0.00859411,0.0116581,0.00859411,1,1.0,0,0.496494,0.496494,1,-999
300,gen=2095_member=29445_pso,6.77448,0.204442,0,0.00706661,0.0116581,0.00706661,1,1.0,0,0.49041,0.49041,1,-999
300,gen=2092_member=29174_pso,6.95859,0.081305,0,0.00137855,0.0116581,0.00614618,1,1.0,0,0.498259,0.498259,1,-999
300,gen=2093_member=29283_pso,7.60194,-0.0027376,0,0.00923633,0.0116581,0.00923633,1,1.0,0,0.461954,0.461954,1,-999
300,gen=2095_member=29434_pso,7.32731,0.00406346,0,0.000749436,0.0116581,0.00614618,1,1.0,0,0.44859,0.44859,1,-999
